Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/4/2017 20:43:17,Centro,Filtraciones techo  5 .Valor material 5800$ Y mano de obra 7500$,
4/4/2017 20:44:54,pueyrredon,entro mucha agua mojo bajomesada cuna bebe colchon de cama 2 plaza placar modular mi ropa igual x techo arriba hay goteras el dueño alquiler no quiere arreglar certificad tengo qu mis hijitos no pueden vivir asi anotada en ipv desde mas 10 años esperando respuesta,
4/4/2017 20:49:12,Standart norte,Caída del techo del baño ,
4/4/2017 20:52:27,Bella vistas norte ,Se rompió toda la entrada a mi casa  desesito escombros para rellenar gracias,
4/4/2017 20:54:12,Isidro quiroga,Techo de durlock de quincho. Techo de dormitorio. Techo de cocina. Piso flotante en living,
4/4/2017 20:57:47,ceferino namuncura,"Destrucción de techo , filtracion en techo y paredes y cieloraso .levantamiento de piso , rotura de Caños de agua del baño",
4/4/2017 21:02:04,jorge newbery,"los daños ocasionados en mi casa fueron los techo daño, dado que colapso el cerco del veckno sobre la casa,se derrumbaron los cercos, la casa quedo al borde de un zanjon de 4 de ancho x 4 de alto espero kn respuesta",
4/4/2017 21:05:20,jorge nuwbey,Entró agua en mi dormitorio y de mi hija el piso de mi dormitorio y tenía alfombra porque el piso estaba feo todavía tenemos umedad se pasó toda la cama y colchón todavía entra agua si llueve por el piso de de mi dormitorio y la ventana del dormitorio de mi hija gracias espero ayuda ,
4/4/2017 21:05:46,Laprida,Piso abierto y paredes rajadas,
4/4/2017 21:06:09,pietrobelli,Caids de paredon,
4/4/2017 21:07:37,Juan XXIII ,"Muebles en general, electrodomesticos, colchones y ropa de blanco ",
4/4/2017 21:09:11,Jorge newbery ,Muro de contención ,
4/4/2017 21:10:40,13 de Diciembre,"roturas de paredes ,",
4/4/2017 21:10:42,9 de Julio,Casa en peligro d Derrumbe por filtrar mucha demasiada agua x el techo con corto circuito casi se incendia..vivo sola con mi hija de 10años otra d 20 con una beba ochomesina d un mes con problema respitatorio estuvimos evacuadas en escuela 13 barrio Jose Fuchs.a la beba la tuvieron q llevar a internar desde el centro d evacuados.Gracias,
4/4/2017 21:12:53,Ceferino namuncura,"Inundacion de habitaciones, caida de cielo razo",
4/4/2017 21:14:41,Juan XXIII,"Frazadas, heladera,lavarropa,",
4/4/2017 21:15:39,standart km 8,Se cayeron los entretechos de los dormitorios y el baño yvperdi todo lo que tenia en el dormitorio colchones placar .,
4/4/2017 21:16:16,jorge nuwbery,Tuve problemas en mi dormitorio entró agua y problema en la luz con los cables en parte de mi casa no tenemos luz por los cables no sirven más ,
4/4/2017 21:20:32,Standart norte,Filtraciones x paredes y partes del techo lo cual pelidro con la electricidad.,
4/4/2017 21:20:49,Favaloro (km 14),"Lluvia provocó daños severos en casa y patio. El terreno se elevó 0,80 m sobre el nivel inicial y dentro de la casa entro lodo y agua, la casa  quedo bajo nivel  sedimentos. Se me mojaron todos los muebles,  heladera,  lavarropa,  cama, colchones,  sábanas,  mantas,  cubrecamas, sillones , mesas, sillas,  bajo mesada de MDF,  termotanque eléctricos (dos), alimentos, en resumen necesito ayuda para poder Re- construir la vivienda! Lo que puedan realizar se agradece. ",
4/4/2017 21:26:47,Pueyrredon,"Daño en la propiedad,  pisos, paredes de madera, electrodomesticos, muebles del hogar. Solicito alguna ayuda para infraestructura!",
4/4/2017 21:33:06,Km17,"Se me daño el lavarropa.Heladera placares.camas.colchones frazadas.cocina alacena bajo medasa mesa sillas equipo de musica.microondas,modular,ropa,televisores,dvd,maquinarias hormigonera,maquina de cocer maquina de soldar moladora ,taladro,mueble del televisor puertas, ventanas,batidora,procesadora,picadora,comida perdi totalmente todo.. ",
4/4/2017 21:40:43,Centro,Techos que gotean chapa augereada,
4/4/2017 21:40:57,Km17 zona de cracra,"Microondas,cama,colchones,frazadas,mesa silla maquinarias ,cocina placeres cuna modular alacena bajo mesads herrsmientas hormigonera,frizer,heladera,cocina cocina electtica calefactores eléctricos puerta ventana, televisores.secarropa lavarropas mueble de cocina despensero,dvd potatil.dvd ventiladores,camas,telefonos,ropa de cama ropa,mesa ratona,sillones,lavavajillas,equipo de musica,bicicletas,plancha microondas,licuadora,procesadora,tostadora alacena,mueble chifonier mesa de luz telefonos,sillones,vajilla completa,cafetera,pileta,cocina,armarios,libros,rinconeras,biblioteca",
4/4/2017 21:43:19,Las flores,Caida de cercos y desrumbe deslizamiento de terreno,
4/4/2017 21:43:20,Las flores,Caida de cercos y desrumbe deslizamiento de terreno,
4/4/2017 21:58:00,La floresta,Entre agua y barro en la casa entre 40 y 50 cm,
4/4/2017 21:59:24,Ameghino Nuevo km3 ,Ropa  placares heladera lavarropa camas calzado libros de mis hijas y utiles del colegio ,
4/4/2017 22:04:11,san cayetano,Necesito trabajar,
4/4/2017 22:06:59,barrio juan jose castelli,"hola me comunico con ustedes ,para contarle y preguntarles que tipo de obra se hizo en el zanjón?ya que con la lluvia se desbordó y se rompió al acueducto y por dicho motivo se me inundo la casa ,entrando 1,50 de barro y agua,, arruinando todo , paso a detallar mis perdidas  heladera , play .piano casio ,secador de pelo, plancha de ropa, planchita de pelo, rulera, microonda ,cafetera, batidora, pimex ,2 frizer . 2 lavarropas, equipo de música, sillones ,3 -tablet ,televisor.computadora,.colchones. veladores,  mercadería, calefactores,cocina ,moto ,herramientas eléctricas,(caladora común-. caladora de banco,sierra de mano ,termofusora ,compresor,pistola de calor generador,amoladora, soldadora,destornillador eléctrico,fresadora,taladro .notebook celular .impresora-muebles , escritorio, despenseros,  bueno es lo que se me destrozo,y me acuerdo ..en este momento, toda una vida de trabajo sacrificio,,para que se arruino todo, por culpa de la irresponsabilidad del municipio ya que nos cansamos como vecinos de reclamar que entuben ese zanjón, ayer arreglaron el acueducto..y aparentemente se va a romper porque lo dejaron una banana, fue impresionante ver como se desbordaba y saltaba el agua y ver que el lodo entraba como una avalancha , sin poder hacer nada , al respecto, ",
4/4/2017 22:07:19,san cayetano,Agua dentro de la casa y patio inundado,
4/4/2017 22:07:23,Francisco de viedma 515 Barrio Ameghino Nuevo ,Camas sillas colchones lavarropa heladera el techo de la cocina ropa de mis hijas placar y utiles y libros del colegio de las nenas ,
4/4/2017 22:09:19,laprida,Se t apo se barro y agua toda la casa y el. Terreno y mi hijo es asmatico  necesito tirarla abajo y hacer una casa nueva,
4/4/2017 22:10:41,juan jose castelli,"ola ,bueno les cuento que se me prendio fuego el galpón de material   de la cantidad de agua que entro ,y empezó por el enchufe de corriente perdimos una bicicleta olmos rodado 26 de 21 cambios, una hormigonera, un lavarropa Lavarropas Drean Carga Superior , una caladora dewalt , una amoladora dewalt , una agujereadora ,destornillador eléctrico, pistola de calor,   Soldadora Star Mig 250 Dual --máscaras de soldar ,herramientas varias,Amoladora Angular A Bateria Dewalt 18v 2 esa era a Baterias con su bolso muebles  mesa todo chasmuscado -hormigoneras  bicicletas
 (guantes delantal campera mamelucos ,frazadas sombrilla etc ) ya que mi marido es soldador calificado y se realizaba trabajos en casa para subsistir,por no tener un trabajo fijo .gracias a dios no toco la casa , y estamos todos bien",
4/4/2017 22:12:46,Laprida,Desmoronamiento de terreno ,
4/4/2017 22:14:10,Pueyrredon,"Daños irreparables. (Televisor led, heladera, muebles,etc.)",
4/4/2017 22:18:29,San Cayetano,Grieta en toda mi cuadra que complica entrada y salida de los domicilios,
4/4/2017 22:20:17,juan jose castelli,destruccion total de casa prefabricada,
4/4/2017 22:20:33,Gral mosconi km 3,Destrucción total de elementos personales muebles electrodomesticos y automovil fiesta azul IAT650 ,
4/4/2017 22:25:17,cerro solo,"Casa enterrada de lodo por la mitad. Perdió todo material,cama, colchón est ",
4/4/2017 22:25:33,Castelli,Filtración de agua en las paredes y techo de la vivienda,
4/4/2017 22:26:35,Don bosco ,Pérdidas totales sin casa llevada X el agua se desmoro no el sanjon camino a caleta 16 casas desaparecieron,
4/4/2017 22:26:59,Prospero palazzo,Pisos y muebles de dos dormitorios y muebles mojados y dañados,
4/4/2017 22:29:10,Don bosco,Destrucción casa total pérdidas totales sin nada solo lo puesto X el sanjon que va camino a caleta córdoba cerca del puente,
4/4/2017 22:31:08,30 de Octubre,"Pérdida de muebles totales (placard ,bajo mesada, porta microondas, futon, sillas ., modular) ",
4/4/2017 22:38:32,Juan XXIII,"Se me abrieron grietas por causa de indundacion perdí televisor ropa computadora daños en las paredes
Rotura del piso.",
4/4/2017 22:39:38,Laprida,Pérdida total..  barro de un metro adentro de La casa,
4/4/2017 22:42:24,Laprida,4 casas en un terreno en los cuales les entro agua y barro,
4/4/2017 22:44:25,Laprida,Pérdida total 1.30 de barro y agua adentro de La casa,
4/4/2017 22:45:36,Cordon forestal ,70% anegado por barro. Desborde del canal. Rotura del cerco perimetral. ,
4/4/2017 22:46:31,san cayetano,Se nos levanto el techo de machimbre de la cocina y comedor y se nos infiltro toda el agua,
4/4/2017 22:46:36,Laprida,Entro barro y agua.. 30 CM adentro de La casa,
4/4/2017 22:53:09,San calletano,Se  me inundo mi casa entro agua x todas partes    perdí colchones  muebles  y ropa de mis hijos ,
4/4/2017 22:59:23,Barrio  los arenales ,Necesito losa todo lo de la casa está mojado  estamos en una habitación con camas húmedas con tres nenas,
4/4/2017 22:59:24,Barrio  los arenales ,Necesito losa todo lo de la casa está mojado  estamos en una habitación con camas húmedas con tres nenas,
4/4/2017 23:03:40,Los arenales ,Necesito losa todo lo de la casa está mojado  estamos en una habitación con camas húmedas con tres nenas no tenemos  calefacción  una estufa sería  bueno  Ya que el barrio no hay  gas ,
4/4/2017 23:04:55,Pueyrredón,"El agua junto con gran cantidad de barro ingreso a la vivienda por inundacion masiva de canal de avenida Roca. El agua ingreso por entrada principal y cloacas. El barrio en el exterior de la vivienda imposibilito totalmente la entrada por puerta principal una vez finalizado el temporal. Gran cantidad de agua y barrio en el interior, a la altura de 1-1,3 mts. A continuacion se detallan los daños materiales:
Perdida total de electrodomésticos varios: heladera, 2 equipos de música, 2 televisores, 1 equipo dvd,  1 cafetera, 1 lavarropas, 1 teléfono fax, 1 impresora.
Perdida total de 3 sommiers: 2 de simple plaza y 1 de dos plazas.
Perdida total de muebles: 1 sillon, macetas, lamparas, mueble televisor, amoblado tipo silla, 4 mesas de luz.
Daño parcial: hinchazon de amoblamiento de puertas de cocina, lavadero y 2 closets.
Rotura total de 3 puertas de madera, torcedura de puerta de hierro principal. Corrosion en ventanales quincho y puertas/ventanalds de hierro.
Rotuta de piso, paredes, desmoronamiento parcial de techo.
Todo amoblamiento y detalles en madera con destruccion total y parcial.
Daños en sistema electrico e iluminacion.
Daño parcial en calefaccion (calefacción a gas)
Redes cloacales internas obstruidas.
Gastos en volquetes para recoleccion de basura.
Pérdida total de indumentaria, zapatos, carteras, cintos, etc.
Pérdida total de set de maquillajes,elementos de tocador y limpieza personal. Pérdida total de 1 plancha para pelo y 1 secador.
Pérdida total de libros y manuales varios.
Pérdida total de disco rigido de 1TB marca Western Digital.
Pérdida total de ropa de cama, toalles y toallas.
Además sufri la perdida fatal de dos de mis mascotas las cuales murieron ahogadas en barro.",
4/4/2017 23:06:19,Pietrobelli,PAR,
4/4/2017 23:11:36,gobernador Fontana ,goteras filtraciones en toda la casa,
4/4/2017 23:19:52,Pietrobelli,"Roturas De Durlok chapa boladas. Vivimos en un cerro.. el mismo callo asi Derrumbando las paredes filtra dose Barros. Por el interior de la casa baño cosina pieza living .. al frente tenemos Como soporte chapas. Como columnas troncos. Que sostenia el frente de la casa. Ala cual .. se derrumbo .. como vivimos a la punta del mismo cerro se comenzo a colapsar las columna con la mitad de la vereda del frente de la casa .. que si sigue asi perdiria la casa completa derrumbandose hacia abajo..  oerdimos heladeras tele cama . Lavarropa. Y muy parte de la casa,  que la cual no podemos Habitar oor riesgo que colapse  con nosotroa adentro ..  somos 4 valentin ezequiel aguilera de 3 añito , cecilia soledad aguilera de 20  años Villagra Raul Omar 21 años  nacho Arenas de 21 años igual Somos de posadas misiones. Nos vinimos a comdoro por trbajo y salir adelante ya que en nuestra localidad no hay trabajo necesitamos ayuda por favor..  ",
4/4/2017 23:22:21,Km 14 ,"Inundacione con ingreso de lodo, perdida de muebles, artefactos eléctricos, se lanvanto los azulejos del piso",
4/4/2017 23:23:47,Ceferino,"vivimos en una casa prefabricada humilde que tiene mas de 30 años,poco a poco le estamos haciendo arreglos pero con este ultimo temporal  se hicieron 2 agujeros importantes en las chapas de fibrocemento y el agua cae como baldazo ,necesitamos hacer todo el techo nuevo con chapas galvanizadas urgente por que no creo que soporten un nuevo temporal de lluvia o viento. gracias. ",
4/4/2017 23:23:49,Pietrobelly,Se me inundó la casa se dañaron muebles. Necesito de la colaboración para poder volver mis cosas,
4/4/2017 23:24:55,ceferino,"vivimos en una casa prefabricada humilde que tiene mas de 30 años,poco a poco le estamos haciendo arreglos pero con este ultimo temporal  se hicieron 2 agujeros importantes en las chapas de fibrocemento y el agua cae como baldazo ,necesitamos hacer todo el techo nuevo con chapas galvanizadas urgente por que no creo que soporten un nuevo temporal de lluvia o viento. gracias. ",
4/4/2017 23:29:33,Jorge Newbery,Chapa jarbo chapa canaletas caño tubi alambrado tirante alfajias chapas para el cerco,
4/4/2017 23:30:03,Barrio 30 de Octubre,"Los daños ocasionados son inundaciòn de casa completa, baños, dormitorios, cocina comedor, lavadero.  Se mojaron colchones, frazadas,  heladera, sillones, placares, chifonier, mesada, calefactor, la puerta de  entrada, esta hichada por la humedad. muebles de cocina. Mi asistencia es poder recuperar mis cositas  (mis placares, ropa de cama, colchón de mi cama de dos plazas) ya que mi esposo tiene problema de cadera, y ha recibido dos intervenciones quirúrgicas, y va por una tercera y necesita tener la casa preparada para poder rehacer su recuperación. en la casa. son 30 años viviendo en mi hogar. y la verdad esto me supero",
4/4/2017 23:31:34,Stella maris,Heladera dejo de enfriar y labarropas dejo de funcionar despues de las subidas y bajadas de tencion.,
4/4/2017 23:46:19,quirno costa,Daños ocurrido: perdida de todos los electrodomésticos necesarios para subsistir y de la propiedad precaria actualmente viviendo con un familiar ya q no me quedo nada ,
4/4/2017 23:46:47,quirno costa,Daños ocurrido: perdida de todos los electrodomésticos necesarios para subsistir y de la propiedad precaria actualmente viviendo con un familiar ya q no me quedo nada ,
4/4/2017 23:49:33,quirno costa,Daños ocurrido: perdida de todos los electrodomésticos necesarios para subsistir y de la propiedad precaria actualmente viviendo con un familiar ya q no me quedo nada tengo dos menores de edad y me quede sin hogar necesito un ayuda urgente ,
4/4/2017 23:51:32,Pueyrredon,Destrucción total de piso paredes muebles ya que es prefabricada. Electrodomésticos todos.,
